Robot Gesture ID,Gesture Type,"Gesture Coordinates (x, y, z)",Timestamp,Gesture Duration (sec),Robot Status,Message ID,Sender,Receiver,Encryption Algorithm Used,Encryption Status,Network Latency (ms),Data Transfer Rate (Mbps),Threat Type,Threat Severity,Response Time (sec),Response Action Taken,Threat Detected
10,Incision,"(1.48, 1.4, 0.02)",2025-02-14 16:32:27,4.37,Idle,22614,Operator,Robot,Two Fish,Encrypted,11,97,Man-in-the-Middle Attack,Low,4.63,Reset Encryption,1
8,Diagnosis,"(1.62, 1.81, 0.68)",2025-02-14 16:32:27,3.08,Idle,61556,Operator,Robot,Two Fish,Encrypted,9,88,DoS Attack,Low,3.94,Reset Encryption,1
9,Incision,"(0.67, 1.53, 0.06)",2025-02-14 16:32:27,1.11,Active,27848,Operator,Robot,Two Fish,Encrypted,7,26,No Threat,Low,0.0,None,0
1,Incision,"(1.63, 1.74, 1.92)",2025-02-14 16:32:27,2.72,Idle,60592,Operator,Robot,Two Fish,Encrypted,13,56,Data Breach,High,4.58,Reconnect Connection,1
4,Suturing,"(0.53, 0.87, 1.17)",2025-02-14 16:32:27,1.2,Idle,46712,Robot,Operator,Two Fish,Failed,5,41,Man-in-the-Middle Attack,Low,2.46,Isolate Data,1
5,Incision,"(0.58, 1.17, 0.16)",2025-02-14 16:32:27,1.32,Idle,68120,Robot,Operator,Two Fish,Encrypted,12,92,No Threat,High,0.0,None,0
8,Incision,"(0.74, 0.97, 0.73)",2025-02-14 16:32:27,4.84,Active,94486,Operator,Robot,Two Fish,Encrypted,10,46,No Threat,Low,0.0,None,0
2,Incision,"(1.76, 1.11, 1.71)",2025-02-14 16:32:27,3.65,Active,70603,Robot,Operator,Two Fish,Failed,8,36,DoS Attack,High,2.2,Reset Encryption,1
9,Incision,"(1.04, 1.71, 0.37)",2025-02-14 16:32:27,1.64,Active,54038,Operator,Robot,Two Fish,Failed,10,75,DoS Attack,Medium,2.18,Reconnect Connection,1
10,Incision,"(1.84, 0.95, 1.17)",2025-02-14 16:32:27,4.25,Active,70590,Robot,Operator,Two Fish,Encrypted,7,41,Data Breach,Low,4.92,Reset Encryption,1
10,Suturing,"(0.1, 0.77, 0.38)",2025-02-14 16:32:27,3.44,Idle,65136,Operator,Robot,Two Fish,Encrypted,9,53,DoS Attack,High,4.36,Reset Encryption,1
5,Incision,"(0.05, 1.38, 1.41)",2025-02-14 16:32:27,3.71,Idle,63109,Operator,Robot,Two Fish,Failed,14,62,Man-in-the-Middle Attack,Medium,4.94,Isolate Data,1
7,Incision,"(1.3, 0.5, 0.15)",2025-02-14 16:32:27,2.98,Idle,32624,Operator,Robot,Two Fish,Failed,14,90,DoS Attack,High,1.75,Isolate Data,1
3,Navigation,"(1.13, 0.88, 0.92)",2025-02-14 16:32:27,3.95,Active,58816,Operator,Robot,Two Fish,Encrypted,14,43,Data Breach,Low,4.79,Reconnect Connection,1
7,Incision,"(0.38, 0.96, 1.82)",2025-02-14 16:32:27,2.95,Idle,74029,Robot,Operator,Two Fish,Encrypted,17,48,DoS Attack,Medium,3.35,Reset Encryption,1
10,Incision,"(0.36, 0.13, 1.39)",2025-02-14 16:32:27,4.66,Active,25306,Operator,Robot,Two Fish,Encrypted,19,49,Man-in-the-Middle Attack,Low,2.77,Reconnect Connection,1
10,Incision,"(1.91, 0.28, 1.07)",2025-02-14 16:32:27,4.49,Idle,59097,Robot,Operator,Two Fish,Encrypted,5,18,No Threat,Low,0.0,None,0
10,Navigation,"(1.3, 1.56, 1.42)",2025-02-14 16:32:27,1.5,Idle,50769,Robot,Operator,Two Fish,Encrypted,7,28,DoS Attack,High,2.34,Reconnect Connection,1
10,Diagnosis,"(0.74, 1.14, 0.56)",2025-02-14 16:32:27,4.34,Active,65880,Robot,Operator,Two Fish,Failed,15,100,Man-in-the-Middle Attack,Low,3.18,Reset Encryption,1
1,Navigation,"(1.21, 1.27, 0.92)",2025-02-14 16:32:27,2.64,Active,24896,Robot,Operator,Two Fish,Encrypted,12,35,DoS Attack,Low,1.73,Reconnect Connection,1
6,Navigation,"(0.09, 1.89, 0.48)",2025-02-14 16:32:27,3.17,Active,70060,Robot,Operator,Two Fish,Failed,9,52,Data Breach,Medium,4.86,Reconnect Connection,1
10,Cleaning,"(0.34, 0.15, 1.95)",2025-02-14 16:32:27,3.1,Idle,75403,Robot,Operator,Two Fish,Encrypted,17,78,No Threat,High,0.0,None,0
5,Incision,"(0.23, 0.77, 0.29)",2025-02-14 16:32:27,1.92,Active,56088,Operator,Robot,Two Fish,Encrypted,9,15,DoS Attack,Low,4.17,Reconnect Connection,1
8,Suturing,"(1.94, 0.96, 0.35)",2025-02-14 16:32:27,2.88,Active,21111,Robot,Operator,Two Fish,Failed,19,39,DoS Attack,Medium,2.3,Reset Encryption,1
3,Cleaning,"(1.1, 1.5, 0.19)",2025-02-14 16:32:27,4.59,Active,65506,Operator,Robot,Two Fish,Failed,11,79,No Threat,High,0.0,None,0
3,Diagnosis,"(1.8, 1.17, 0.47)",2025-02-14 16:32:27,4.88,Active,97269,Robot,Operator,Two Fish,Encrypted,16,78,DoS Attack,Low,4.64,Reconnect Connection,1
2,Incision,"(2.0, 0.34, 1.88)",2025-02-14 16:32:27,4.71,Active,51922,Robot,Operator,Two Fish,Failed,14,71,Data Breach,Medium,1.37,Reconnect Connection,1
1,Navigation,"(0.43, 1.05, 0.23)",2025-02-14 16:32:27,4.37,Idle,98004,Operator,Robot,Two Fish,Failed,13,53,No Threat,Medium,0.0,None,0
2,Navigation,"(0.27, 1.18, 1.44)",2025-02-14 16:32:27,2.68,Idle,35515,Operator,Robot,Two Fish,Failed,9,41,No Threat,Medium,0.0,None,0
9,Incision,"(1.4, 1.02, 1.61)",2025-02-14 16:32:27,4.92,Idle,86749,Robot,Operator,Two Fish,Failed,11,76,Man-in-the-Middle Attack,Medium,4.62,Reset Encryption,1
1,Navigation,"(1.67, 1.83, 1.87)",2025-02-14 16:32:27,3.18,Idle,31718,Operator,Robot,Two Fish,Encrypted,16,85,Data Breach,High,3.49,Reset Encryption,1
8,Navigation,"(0.5, 1.63, 0.19)",2025-02-14 16:32:27,3.44,Active,40266,Robot,Operator,Two Fish,Encrypted,5,20,Man-in-the-Middle Attack,High,2.93,Reconnect Connection,1
3,Navigation,"(1.28, 1.75, 1.65)",2025-02-14 16:32:27,3.5,Idle,42150,Robot,Operator,Two Fish,Encrypted,7,59,DoS Attack,Medium,4.76,Isolate Data,1
5,Incision,"(0.21, 1.17, 1.0)",2025-02-14 16:32:27,1.88,Active,45282,Robot,Operator,Two Fish,Failed,17,67,DoS Attack,High,1.82,Reconnect Connection,1
8,Suturing,"(0.14, 1.78, 0.14)",2025-02-14 16:32:27,2.97,Active,96255,Robot,Operator,Two Fish,Encrypted,19,30,Man-in-the-Middle Attack,Low,3.87,Reconnect Connection,1
3,Diagnosis,"(0.07, 1.29, 1.23)",2025-02-14 16:32:27,1.06,Idle,66408,Robot,Operator,Two Fish,Failed,6,66,No Threat,Medium,0.0,None,0
3,Diagnosis,"(0.36, 0.31, 0.37)",2025-02-14 16:32:27,3.48,Active,88570,Operator,Robot,Two Fish,Encrypted,10,92,Man-in-the-Middle Attack,Medium,1.45,Reconnect Connection,1
6,Incision,"(0.64, 0.26, 1.56)",2025-02-14 16:32:27,1.31,Idle,42904,Operator,Robot,Two Fish,Failed,11,37,No Threat,High,0.0,None,0
10,Navigation,"(1.74, 0.9, 1.55)",2025-02-14 16:32:27,1.33,Idle,88130,Operator,Robot,Two Fish,Failed,16,58,Data Breach,High,2.41,Reconnect Connection,1
5,Suturing,"(0.92, 1.83, 0.6)",2025-02-14 16:32:27,3.94,Active,31363,Robot,Operator,Two Fish,Failed,8,50,DoS Attack,High,4.89,Isolate Data,1
10,Diagnosis,"(0.86, 0.45, 1.94)",2025-02-14 16:32:27,1.25,Active,96940,Robot,Operator,Two Fish,Encrypted,18,55,No Threat,Low,0.0,None,0
4,Diagnosis,"(1.87, 0.81, 1.25)",2025-02-14 16:32:27,4.11,Active,38877,Operator,Robot,Two Fish,Failed,16,28,Data Breach,High,3.6,Reconnect Connection,1
6,Cleaning,"(1.46, 1.34, 1.52)",2025-02-14 16:32:27,1.89,Active,68255,Operator,Robot,Two Fish,Encrypted,8,53,DoS Attack,Medium,1.43,Isolate Data,1
6,Diagnosis,"(0.26, 1.22, 1.4)",2025-02-14 16:32:27,2.18,Idle,25253,Robot,Operator,Two Fish,Encrypted,12,62,No Threat,Medium,0.0,None,0
5,Cleaning,"(1.68, 1.11, 0.03)",2025-02-14 16:32:27,4.35,Active,90783,Operator,Robot,Two Fish,Failed,10,34,Man-in-the-Middle Attack,Medium,2.01,Reconnect Connection,1
4,Diagnosis,"(1.92, 1.54, 0.81)",2025-02-14 16:32:27,3.02,Active,15982,Operator,Robot,Two Fish,Encrypted,14,81,Data Breach,Low,4.14,Isolate Data,1
3,Suturing,"(1.09, 0.1, 0.25)",2025-02-14 16:32:27,1.34,Idle,57895,Operator,Robot,Two Fish,Failed,14,14,DoS Attack,Medium,1.9,Reset Encryption,1
6,Diagnosis,"(0.17, 0.37, 1.51)",2025-02-14 16:32:27,4.47,Idle,98782,Robot,Operator,Two Fish,Failed,16,93,Man-in-the-Middle Attack,Medium,2.69,Reset Encryption,1
4,Navigation,"(0.96, 0.33, 0.36)",2025-02-14 16:32:27,3.54,Active,25006,Operator,Robot,Two Fish,Encrypted,17,61,No Threat,High,0.0,None,0
